,Color,Year of car manufacture,Length,price,Width,Brand Name,Transmission type,Seats,Body type,city,Car model,kilometer driven,Insurance Validity_value,Fuel type,Number of previous owners,Engine Displacement_value(cc)
7519,Silver,2017,4413mm,425000.0,1699mm,Skoda,Manual,5.0,Sedan,Kolkata,Skoda Rapid,100000,Comprehensive,Petrol,1,1598
7520,Blue,2017,3785mm,297000.0,1635mm,Datsun,Manual,5.0,Hatchback,Kolkata,Datsun GO,19280,Comprehensive,Petrol,1,1198
7521,Others,2019,3995 mm,750000.0,1770 mm,Hyundai,Manual,5.0,SUV,Kolkata,Hyundai Venue,10000,Third Party insurance,Petrol,1,998
7522,Grey,2021,3995mm,658000.0,1735,Maruti,Manual,5.0,Sedan,Kolkata,Maruti Swift Dzire,9646,Comprehensive,Petrol,1,1197
7523,Blue,2020,4300,750000.0,1785,Maruti,Manual,5.0,SUV,Kolkata,Maruti SX4 S Cross,11344,Third Party insurance,Petrol,1,1462
7524,Black,2021,4824mm,4600000.0,1811mm,BMW,Automatic,5.0,Sedan,Kolkata,BMW 3 Series,17899,Comprehensive,Petrol,1,1998
7525,Outback Bronze,2021,3731mm,449000.0,1579mm,Renault,Manual,5.0,Hatchback,Kolkata,Renault KWID,6000,Comprehensive,Petrol,0,999
7526,Black,2010,3640mm,150000.0,1595mm,Chevrolet,Manual,5.0,Hatchback,Kolkata,Chevrolet Beat,80000,Third Party insurance,Petrol,1,1199
7527,Others,2006,3690mm,99703.0,1665mm,Tata,Manual,5.0,Hatchback,Kolkata,Tata Indica,50000,Third Party insurance,Diesel,1,1396
7528,Grey,2014,3985mm,450000.0,1734mm,Hyundai,Manual,5.0,Hatchback,Kolkata,Hyundai i20,35000,Third Party,Diesel,2,1396
7529,Golden,2015,4296mm,565000.0,1695mm,Maruti,Manual,7.0,MUV,Kolkata,Maruti Ertiga,31244,Third Party insurance,Petrol,2,1373
7530,Grey,2017,3765mm,409999.99999999994,1660mm,Hyundai,Manual,5.0,Hatchback,Kolkata,Hyundai Grand i10,40000,Third Party insurance,Petrol,1,1197
7531,Green,2012,3640mm,170000.0,1595mm,Chevrolet,Manual,5.0,Hatchback,Kolkata,Chevrolet Beat,30000,Third Party insurance,Petrol,2,1199
7532,White,2012,3988mm,178000.0,1620mm,Tata,Manual,5.0,Sedan,Kolkata,Tata Indigo,60000,Third Party insurance,Diesel,1,1396
7533,Silver,2010,4841mm,894999.9999999999,1846mm,BMW,Automatic,5.0,Sedan,Kolkata,BMW 5 Series,70000,Comprehensive,Diesel,1,2993
7534,Silver,2015,3495mm,239000.0,1550mm,Hyundai,Manual,5.0,Hatchback,Kolkata,Hyundai EON,65440,Comprehensive,Petrol,1,814
7535,Blue,2021,3990mm,652000.0,1755,Tata,Manual,5.0,Hatchback,Kolkata,Tata Altroz,35884,Comprehensive,Petrol,1,1199
7536,Golden,2015,4620mm,550000.0,1776mm,Toyota,Manual,5.0,Sedan,Kolkata,Toyota Corolla Altis,77500,Third Party insurance,Petrol,1,1798
7537,Golden,2015,4620mm,599000.0,1776mm,Toyota,Manual,5.0,Sedan,Kolkata,Toyota Corolla Altis,59729,Comprehensive,Petrol,1,1798
7538,Blue,2014,3395mm,199000.0,1490mm,Maruti,Manual,5.0,Hatchback,Kolkata,Maruti Alto 800,64854,Comprehensive,Petrol,1,796
7539,Golden,2018,3995mm,575000.0,1735mm,Maruti,Manual,5.0,Sedan,Kolkata,Maruti Swift Dzire,29836,Comprehensive,Petrol,2,1197
7540,Grey,2017,3995mm,445000.0,1695mm,Ford,Manual,5.0,Sedan,Kolkata,Ford Aspire,74094,Comprehensive,Diesel,1,1498
7541,Blue,2021,3845mm,620000.0,1735,Maruti,Manual,5.0,Hatchback,Kolkata,Maruti Swift,11590,Comprehensive,Petrol,1,1197
7542,Brown,2021,3989mm,706000.0,1694,Honda,Manual,5.0,Hatchback,Kolkata,Honda Jazz,9461,Comprehensive,Petrol,1,1199
7543,Silver,2014,4425mm,363000.0,1695mm,Renault,Manual,5.0,Sedan,Kolkata,Renault Scala,59006,Comprehensive,Diesel,3,1461
7544,Others,2022,4735,2400000.0,1830,Toyota,Manual,7.0,MUV,Kolkata,Toyota Innova Crysta,10000,Third Party insurance,Diesel,1,2393
7545,Others,2017,3995mm,492000.0,1695mm,Maruti,Manual,5.0,Sedan,Kolkata,Maruti Swift Dzire,150000,Third Party insurance,Diesel,2,1248
7546,Gray,2016,3990mm,360000.0,1680mm,Honda,Manual,5.0,Sedan,Kolkata,Honda Amaze,40000,Third Party insurance,Petrol,3,1198
7547,Others,2009,4160mm,280000.0,1690mm,Maruti,Manual,5.0,Sedan,Kolkata,Maruti Swift Dzire,80000,Third Party insurance,Diesel,2,1248
7548,Others,2016,4705mm,1639999.9999999998,1840mm,Toyota,Automatic,7.0,SUV,Kolkata,Toyota Fortuner,90000,Third Party insurance,Diesel,1,2982
7549,Black,2012,4500mm,950000.0,2195mm,Land Rover,Automatic,5.0,SUV,Kolkata,Land Rover Freelander 2,80000,Third Party insurance,Diesel,2,2179
7550,White,2014,4705mm,1299000.0,1840mm,Toyota,Manual,7.0,SUV,Kolkata,Toyota Fortuner,73000,Comprehensive,Diesel,2,2982
7551,Others,2010,3595mm,250000.0,1475mm,Maruti,Manual,5.0,Hatchback,Kolkata,Maruti Wagon R,150000,Third Party insurance,Petrol,1,998
7552,Black,2018,5063mm,3950000.0,1860mm,Mercedes-Benz,Automatic,5.0,Sedan,Kolkata,Mercedes-Benz E-Class,33600,Third Party insurance,Diesel,1,2987
7553,Others,2011,3884mm,250000.0,1695mm,Toyota,Manual,5.0,Hatchback,Kolkata,Toyota Etios Liva,60000,Third Party insurance,Diesel,3,1364
7554,Others,2016,3955mm,373000.0,1694mm,Honda,Manual,5.0,Hatchback,Kolkata,Honda Jazz,82286,Third Party,Petrol,1,1199
7555,White,2010,4545mm,415000.00000000006,1820mm,Honda,Manual,5.0,SUV,Kolkata,Honda CR-V,59880,Third Party,Petrol,2,1997
7556,White,2021,4735,2200000.0,1830,Toyota,Manual,8.0,MUV,Kolkata,Toyota Innova Crysta,29841,Comprehensive,Diesel,1,2393
7557,Grey,2022,3695mm,517000.0,1655,Maruti,Manual,5.0,Hatchback,Kolkata,Maruti Celerio,10518,Comprehensive,Petrol,1,998
7558,Grey,2020,3695mm,455999.99999999994,1600mm,Maruti,Manual,5.0,Hatchback,Kolkata,Maruti Celerio,6204,Comprehensive,Petrol,1,998
7559,Blue,2020,4585mm,1250000.0,1866mm,Mahindra,Manual,8.0,MUV,Kolkata,Mahindra Marazzo,20000,Third Party insurance,Diesel,1,1497
7560,Brown,2013,3995mm,311000.0,1710mm,Hyundai,Manual,5.0,Hatchback,Kolkata,Hyundai i20,23696,Third Party,Petrol,1,1197
7561,White,2016,4585mm,950000.0,1760mm,Toyota,Manual,8.0,MUV,Kolkata,Toyota Innova,112000,Third Party insurance,Diesel,1,2494
7562,Blue,2020,3445,305000.0,1515,Maruti,Manual,5.0,Hatchback,Kolkata,Maruti Alto 800,7569,Comprehensive,Petrol,1,796
7563,Blue,2019,3840mm,583000.0,1735mm,Maruti,Automatic,5.0,Hatchback,Kolkata,Maruti Swift,18800,Comprehensive,Petrol,1,1197
7564,Red,2018,3679mm,250000.0,1579mm,Renault,Automatic,5.0,Hatchback,Kolkata,Renault KWID,32147,Third Party insurance,Petrol,1,999
7565,White,2016,3998mm,430000.0,1765mm,Ford,Manual,5.0,SUV,Kolkata,Ford Ecosport,27000,Comprehensive,Petrol,1,1497
7566,Green,2010,3640mm,150000.0,1595mm,Chevrolet,Manual,5.0,Hatchback,Kolkata,Chevrolet Beat,35100,Third Party,Petrol,1,1199
7567,Others,2022,3993,650000.0,1811,Tata,Manual,5.0,SUV,Kolkata,Tata Nexon,20000,Third Party insurance,Petrol,1,1199
7568,Silver,2014,3765mm,330000.0,1660mm,Hyundai,Manual,5.0,Hatchback,Kolkata,Hyundai Grand i10,31458,Comprehensive,Petrol,1,1197
7569,White,2015,4701mm,1499000.0,2040mm,Audi,Automatic,5.0,Sedan,Kolkata,Audi A4,12000,Third Party,Petrol,1,1798
7570,Black,2021,3995mm,675000.0,1695mm,Honda,Manual,5.0,Sedan,Kolkata,Honda Amaze,10000,Third Party insurance,Petrol,1,1199
7571,Cherry Red,2018,3995mm,775000.0,1790mm,Maruti,Automatic,5.0,SUV,Kolkata,Maruti Vitara Brezza,32000,Comprehensive,Diesel,1,1248
7572,Orange,2012,3850mm,280000.0,1695mm,Maruti,Manual,5.0,Hatchback,Kolkata,Maruti Swift,37659,Comprehensive,Diesel,1,1248
7573,Blue,2020,3995mm,588000.0,1735,Maruti,Automatic,5.0,Sedan,Kolkata,Maruti Swift Dzire,31479,Comprehensive,Petrol,1,1197
7574,Silver,2019,3445mm,329000.0,1515mm,Maruti,Manual,5.0,Hatchback,Kolkata,Maruti Alto 800,10998,Comprehensive,Petrol,1,796
7575,Gray,2021,3731mm,459999.99999999994,1579mm,Renault,Automatic,5.0,Hatchback,Kolkata,Renault KWID,10000,Third Party insurance,Petrol,1,999
7576,White,2021,3655 mm,479000.0,1620 mm,Maruti,Manual,5.0,Hatchback,Kolkata,Maruti Wagon R,27370,Comprehensive,Cng,1,998
7577,Silver,2016,3840mm,380000.0,1735mm,Maruti,Manual,5.0,Hatchback,Kolkata,Maruti Swift,39714,Comprehensive,Petrol,1,1197
7578,Blue,2015,3495mm,235000.0,1550mm,Hyundai,Manual,5.0,Hatchback,Kolkata,Hyundai EON,34000,Comprehensive,Petrol,1,814
7579,Grey,2015,3585mm,309000.0,1595mm,Hyundai,Manual,5.0,Hatchback,Kolkata,Hyundai i10,41469,Comprehensive,Petrol,2,1197
7580,Grey,2019,3995mm,670000.0,1745mm,Maruti,Manual,5.0,Hatchback,Kolkata,Maruti Baleno,6033,Comprehensive,Petrol,1,1197
